month,year,description,costIndex
January,2019,Site Clearance-Manual,1.501
January,2019,Site Clearance-Machine,1.453
January,2019,Earthworks-Manual,1.499
January,2019,Earthworks-Machine,1.453
January,2019,Filling and Compacting-Manual,1.577
January,2019,Filling and Compacting-Machine,1.490
January,2019,Concrete Work-Using crushed agg.,1.483
January,2019,Concrete Work-Using lcoal all-in-agg/hand broken,1.492
January,2019,Concrete Work-Reinforcement,1.493
January,2019,Concrete Work-Formwork,1.473
January,2019,Brickwork/Blockwork/Roofing-Handmoulding,1.543
January,2019,Brickwork/Blockwork/Roofing-Plant,1.515
January,2019,Brickwork/Blockwork/Roofing-Blockwork,1.482
January,2019,Brickwork/Blockwork/Roofing-Roofing-in Alum. Covering,1.446
January,2019,Woodwork-Carcassing-roof str. Etc.,1.489
January,2019,Woodwork-Joinery-frame,1.470
January,2019,Woodwork-Doors & fittings,1.500
January,2019,Woodwork-Ironmongery,1.423
January,2019,Metalwork-Louvre Carriers,1.444
January,2019,Metalwork-Bar burglar proof,1.489
January,2019,Metalwork-Structural Steelwork,1.455
January,2019,Plumbing Works-PVC pipes Plastic T & G,1.439
January,2019,Plumbing Works-Copper pipes,1.420
January,2019,Plumbing Works-1st fixing fittings,1.419
January,2019,Plumbing Works-Installed fittings,1.422
January,2019,Plumbing Works-Machine Motors/Machines,1.427
January,2019,Electrical Works-Cable Conductors,1.397
January,2019,Electrical Works-Fittings - Light,1.467
January,2019,Electrical Works-AC/Lift/Equipment,1.424
January,2019,Finishes-In-situ cement + Sand Screed + rendering,1.477
January,2019,Finishes-Wall + floor tiles,1.438
January,2019,Finishes-Plywood ceiling,1.490
January,2019,Finishes-Glazing,1.403
January,2019,Finishes-Painting,1.452
January,2019,Road Works-Compacted base/sub,1.496
January,2019,Road Works-MC2,1.471
January,2019,Road Works-S125 + Chippings,1.471
January,2019,Road Works-Asphalt,1.475
January,2019,Road Works-Haulage,1.496
January,2019,Road Works-Preliminaries/Gen. Items,1.547
